,0
0,1.2316641
1,1.0411195
2,0.999574
3,1.0193356
4,1.0197588
5,1.0184531
6,1.0061808
7,0.9986633
8,0.9807122
9,0.9688331
10,0.9573805
11,0.9473835
12,0.9415677
13,0.9292956
14,0.91709065
15,0.9110888
16,0.90550196
17,0.90009135
18,0.89240015
19,0.883882
20,0.87575656
21,0.87545675
22,0.8698898
23,0.86391807
24,0.8567655
25,0.8514282
26,0.84640664
27,0.8407715
28,0.8365341
29,0.8310895
30,0.8241822
31,0.82027286
32,0.8218528
33,0.8202829
34,0.8179897
35,0.81062824
36,0.80476296
37,0.7980083
38,0.79001117
39,0.7832095
40,0.77758104
41,0.7725643
42,0.7678171
43,0.7617105
44,0.750504
45,0.74299437
46,0.7351838
47,0.72725666
48,0.72069395
49,0.71465194
50,0.71044654
51,0.70555705
52,0.70072705
53,0.6988505
54,0.699006
55,0.69675195
56,0.69463974
57,0.6936583
58,0.6913703
59,0.69046086
60,0.6905834
61,0.69234127
62,0.6933551
63,0.6953188
64,0.69821143
65,0.6949718
66,0.691331
67,0.6892683
68,0.68460363
69,0.6827561
70,0.6822317
71,0.6815969
72,0.68251526
73,0.6843777
74,0.6856486
75,0.6860685
76,0.685177
77,0.68384284
78,0.6851001
79,0.6859303
80,0.6856004
81,0.68578047
82,0.6854008
83,0.68406284
84,0.68116635
85,0.67768353
86,0.6749195
87,0.67387426
88,0.6738379
89,0.6743874
90,0.67692596
91,0.6786347
92,0.68099755
93,0.6826558
94,0.6847442
95,0.6880526
96,0.69086397
97,0.69346845
98,0.6947409
99,0.6988759
100,0.70619637
101,0.7094141
102,0.71078336
103,0.71388316
104,0.71491814
105,0.7099438
106,0.7017204
107,0.6936645
108,0.68530667
109,0.6827022
110,0.6770137
111,0.67409146
112,0.67625946
113,0.6790176
114,0.6872494
115,0.6982806
116,0.7066022
117,0.7189875
118,0.73044735
119,0.7487873
120,0.77292216
121,0.79531586
122,0.8138947
123,0.823864
124,0.8335749
125,0.8459432
126,0.8510692
127,0.8467146
128,0.84033066
129,0.8295604
130,0.82201326
131,0.82332057
132,0.8126795
133,0.8031904
134,0.79446816
135,0.7766481
136,0.7627693
137,0.750422
138,0.7394779
139,0.7282428
