,0,1
0,"[0.5694155693054199, 0.7903226017951965]","[1.724776029586792, 0.4630996286869049]"
1,"[0.47990596294403076, 0.8225806355476379]","[1.4539132118225098, 0.45940959453582764]"
2,"[0.4818061590194702, 0.774193525314331]","[1.6602370738983154, 0.44464945793151855]"
3,"[0.5457909107208252, 0.774193525314331]","[1.6042903661727905, 0.47047969698905945]"
4,"[0.4967239499092102, 0.8064516186714172]","[1.5971909761428833, 0.4630996286869049]"
5,"[0.5080199241638184, 0.8064516186714172]","[1.648242473602295, 0.45018449425697327]"
6,"[0.5014889240264893, 0.7903226017951965]","[1.6271615028381348, 0.4575645625591278]"
7,"[0.5886439681053162, 0.7903226017951965]","[1.9588757753372192, 0.47047969698905945]"
8,"[0.6429873704910278, 0.7580645084381104]","[2.1037495136260986, 0.4723247289657593]"
9,"[0.5047879815101624, 0.774193525314331]","[1.619697093963623, 0.4483394920825958]"
10,"[0.6425583958625793, 0.774193525314331]","[2.0333142280578613, 0.46125462651252747]"
11,"[0.6029112935066223, 0.774193525314331]","[1.7757248878479004, 0.4852398633956909]"
12,"[0.5619618892669678, 0.7903226017951965]","[1.8234752416610718, 0.45387452840805054]"
13,"[0.6168023347854614, 0.774193525314331]","[1.8185726404190063, 0.48708486557006836]"
14,"[0.5237839221954346, 0.8064516186714172]","[1.7529048919677734, 0.4889298975467682]"
15,"[0.5791945457458496, 0.774193525314331]","[1.7417564392089844, 0.4797047972679138]"
16,"[0.6676255464553833, 0.774193525314331]","[1.951587438583374, 0.4833948314189911]"
17,"[0.581567108631134, 0.7903226017951965]","[1.8496770858764648, 0.47047969698905945]"
18,"[0.5118536949157715, 0.7903226017951965]","[1.6832845211029053, 0.47601476311683655]"
19,"[0.6307845711708069, 0.774193525314331]","[2.0102646350860596, 0.45387452840805054]"
