,0
0,0.2711641
1,0.2705486
2,0.2711631
3,0.27331448
4,0.27582523
5,0.2777254
6,0.2806167
7,0.28432256
8,0.2886588
9,0.29293776
10,0.29635018
11,0.29856348
12,0.30012527
13,0.2997739
14,0.29919788
15,0.2980861
16,0.29722595
17,0.29775912
18,0.29831463
19,0.29844317
20,0.29647285
21,0.29490757
22,0.29378653
23,0.29331228
24,0.2919113
25,0.28970492
26,0.2874427
27,0.28467822
28,0.28255412
29,0.28022492
30,0.2786477
31,0.2768464
32,0.27471715
33,0.27371746
34,0.27319145
35,0.2736066
36,0.27448544
37,0.2754528
38,0.2762625
39,0.27778593
40,0.27959108
41,0.2812783
42,0.28201243
43,0.28420517
44,0.28570664
45,0.28721872
46,0.28816232
47,0.28680253
48,0.28547698
49,0.27805072
50,0.22130337
51,0.22178419
52,0.22238517
53,0.22327298
54,0.2246425
55,0.2262736
56,0.22873646
57,0.23057611
58,0.23181464
59,0.23286502
60,0.23515065
61,0.23681799
62,0.23857222
63,0.23942947
64,0.24110812
65,0.24391119
66,0.24566194
67,0.2462839
68,0.24494968
69,0.24224588
70,0.23866917
71,0.23535001
72,0.23208766
73,0.2296849
74,0.2283399
75,0.22811487
76,0.22813433
77,0.22849186
78,0.22891624
79,0.22929738
80,0.22982745
81,0.229784
82,0.22974946
83,0.23036738
84,0.23070848
85,0.23169239
86,0.23277967
87,0.23387502
88,0.23509507
89,0.23630394
90,0.23808564
91,0.23989202
92,0.24117978
93,0.24209373
94,0.24317719
95,0.24262124
96,0.24181186
97,0.24082343
98,0.24038361
99,0.23995285
